UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
213349,10,7416,3007,4409,6341,2684,3657,1075,323,752
213358,10,2618,925,1693,949,388,561,1669,537,1132
213367,10,3554,1135,2419,1983,695,1288,1571,440,1131
213376,10,1939,775,1164,1389,607,782,550,168,382
213385,10,2764,1412,1352,2734,1394,1340,30,18,12
213400,10,2455,1217,1238,1040,482,558,1415,735,680
213446,10,61,20,41,33,11,22,28,9,19
213455,10,393,0,393,46,0,46,347,0,347
213473,10,87,9,78,65,2,63,22,7,15
213491,10,40,0,40,13,0,13,27,0,27
213507,10,2142,895,1247,1864,795,1069,278,100,178
213525,10,6385,2331,4054,1896,880,1016,4489,1451,3038
213534,10,452,258,194,445,255,190,7,3,4
213543,10,7590,3962,3628,6785,3580,3205,805,382,423
213570,10,529,153,376,529,153,376,,,
213589,10,374,332,42,363,323,40,11,9,2
213598,10,1848,619,1229,1709,563,1146,139,56,83
213622,10,91,12,79,73,11,62,18,1,17
213631,10,258,109,149,78,25,53,180,84,96
213659,10,4315,1467,2848,1388,575,813,2927,892,2035
213668,10,1063,504,559,1049,499,550,14,5,9
213774,10,599,175,424,359,108,251,240,67,173
213826,10,2850,990,1860,2397,799,1598,453,191,262
213914,10,199,17,182,199,17,182,,,
213932,10,144,9,135,144,9,135,,,
213987,10,2668,1096,1572,2402,1005,1397,266,91,175
213996,10,3344,1225,2119,2532,983,1549,812,242,570
214023,10,14,9,5,10,6,4,4,3,1
214041,10,6732,2691,4041,4852,2089,2763,1880,602,1278
214069,10,2107,739,1368,1759,651,1108,348,88,260
214111,10,8895,3664,5231,2452,1237,1215,6443,2427,4016
214148,10,399,0,399,392,0,392,7,0,7
214157,10,2658,933,1725,2173,795,1378,485,138,347
214166,10,2967,1029,1938,1124,344,780,1843,685,1158
214175,10,1818,743,1075,1776,718,1058,42,25,17
214272,10,2171,796,1375,1546,589,957,625,207,418
214290,10,623,560,63,623,560,63,,,
214379,10,8695,3141,5554,3053,1341,1712,5642,1800,3842
214476,10,52,6,46,49,5,44,3,1,2
214528,10,245,224,21,185,168,17,60,56,4
214564,10,1148,235,913,1067,226,841,81,9,72
214582,10,662,81,581,336,43,293,326,38,288
214591,10,3323,2097,1226,3095,1956,1139,228,141,87
214607,10,258,181,77,94,63,31,164,118,46
214625,10,456,265,191,387,239,148,69,26,43
214634,10,332,121,211,212,88,124,120,33,87
214643,10,353,223,130,319,201,118,34,22,12
214652,10,838,462,376,789,440,349,49,22,27
214670,10,954,547,407,832,492,340,122,55,67
214689,10,2421,1305,1116,2358,1270,1088,63,35,28
214698,10,504,281,223,474,266,208,30,15,15
214704,10,1944,1111,833,1737,1003,734,207,108,99
214713,10,4651,2813,1838,4187,2552,1635,464,261,203
214731,10,1223,767,456,1127,704,423,96,63,33
214740,10,353,202,151,307,182,125,46,20,26
214759,10,419,201,218,406,196,210,13,5,8
214768,10,510,290,220,484,278,206,26,12,14
214777,10,50399,26493,23906,48720,25459,23261,1679,1034,645
214786,10,361,222,139,344,215,129,17,7,10
214795,10,588,246,342,501,199,302,87,47,40
214801,10,3095,1837,1258,2861,1691,1170,234,146,88
214810,10,650,235,415,576,212,364,74,23,51
214829,10,707,440,267,586,377,209,121,63,58
214883,10,872,210,662,160,41,119,712,169,543
214892,10,223,86,137,223,86,137,,,
214944,10,603,521,82,441,383,58,162,138,24
214971,10,141,46,95,125,40,85,16,6,10
215008,10,68,66,2,68,66,2,,,
215044,10,137,15,122,137,15,122,,,
215053,10,323,89,234,289,75,214,34,14,20
215062,10,28711,12676,16035,23948,10666,13282,4763,2010,2753
215105,10,1207,416,791,1136,395,741,71,21,50
215114,10,1056,512,544,791,391,400,265,121,144
215123,10,3027,1108,1919,2927,1087,1840,100,21,79
215239,10,12224,4154,8070,4221,1581,2640,8003,2573,5430
215266,10,1003,455,548,951,439,512,52,16,36
215275,10,1326,574,752,1270,543,727,56,31,25
215284,10,1940,1080,860,1893,1051,842,47,29,18
215293,10,34525,14393,20132,27001,11269,15732,7524,3124,4400
215309,10,28,1,27,24,1,23,4,0,4
215381,10,591,551,40,591,551,40,,,
215390,10,402,87,315,93,16,77,309,71,238
215415,10,864,526,338,695,438,257,169,88,81
215424,10,223,110,113,175,90,85,48,20,28
215442,10,3299,1098,2201,2289,807,1482,1010,291,719
215479,10,55,3,52,55,3,52,,,
215530,10,66,2,64,36,1,35,30,1,29
215585,10,4788,1647,3141,892,360,532,3896,1287,2609
215594,10,270,43,227,204,35,169,66,8,58
215619,10,43,11,32,28,6,22,15,5,10
215637,10,127,60,67,127,60,67,,,
215655,10,4737,2554,2183,3239,1852,1387,1498,702,796
215682,10,405,367,38,405,367,38,,,
215691,10,777,306,471,453,195,258,324,111,213
215743,10,2835,1060,1775,1615,624,991,1220,436,784
215770,10,7201,3009,4192,5560,2440,3120,1641,569,1072
215798,10,1442,838,604,1355,787,568,87,51,36
215813,10,76,59,17,46,46,0,30,13,17
215886,10,74,22,52,19,14,5,55,8,47
215929,10,4825,2061,2764,4057,1725,2332,768,336,432
215947,10,1984,695,1289,1760,637,1123,224,58,166
215974,10,594,74,520,466,63,403,128,11,117
215983,10,37,6,31,19,4,15,18,2,16
215992,10,160,67,93,159,66,93,1,1,0
216010,10,5184,2352,2832,4163,1989,2174,1021,363,658
216038,10,8350,3406,4944,7002,3027,3975,1348,379,969
216047,10,173,161,12,138,138,0,35,23,12
216074,10,282,4,278,202,2,200,80,2,78
216083,10,242,77,165,219,76,143,23,1,22
216162,10,340,40,300,340,40,300,,,
216223,10,51,1,50,51,1,50,,,
216278,10,2247,968,1279,2113,917,1196,134,51,83
216287,10,1644,795,849,1641,794,847,3,1,2
216296,10,1453,1296,157,1398,1249,149,55,47,8
216311,10,120,120,0,120,120,0,,,
216339,10,30205,13057,17148,26397,11441,14956,3808,1616,2192
216348,10,12,11,1,5,5,0,7,6,1
216357,10,920,446,474,873,420,453,47,26,21
216366,10,8315,2254,6061,6155,1796,4359,2160,458,1702
216436,10,90,81,9,90,81,9,,,
216445,10,100,91,9,100,91,9,,,
216454,10,79,71,8,79,71,8,,,
216463,10,227,163,64,36,24,12,191,139,52
216524,10,1492,777,715,1473,766,707,19,11,8
216542,10,573,266,307,425,218,207,148,48,100
216551,10,86,72,14,78,67,11,8,5,3
216579,10,71,4,67,71,4,67,,,
216597,10,10111,4688,5423,8273,3742,4531,1838,946,892
216630,10,39,6,33,39,6,33,,,
216667,10,1162,622,540,1157,619,538,5,3,2
216694,10,1315,578,737,1142,520,622,173,58,115
216746,10,51,49,2,44,43,1,7,6,1
216764,10,17076,6736,10340,13818,5534,8284,3258,1202,2056
216773,10,145,20,125,145,20,125,,,
216807,10,1203,573,630,1062,507,555,141,66,75
216816,10,1031,672,359,195,156,39,836,516,320
216825,10,4275,1440,2835,1225,447,778,3050,993,2057
216852,10,5610,1928,3682,4383,1697,2686,1227,231,996
216931,10,5198,1607,3591,2352,1042,1310,2846,565,2281
216940,10,313,313,0,313,313,0,,,
217013,10,1694,403,1291,652,157,495,1042,246,796
217040,10,41,41,0,41,41,0,,,
217059,10,3720,1542,2178,3015,1310,1705,705,232,473
217077,10,497,178,319,497,178,319,,,
217156,10,11516,5486,6030,10832,5253,5579,684,233,451
217165,10,3592,2309,1283,3432,2215,1217,160,94,66
217235,10,4372,1618,2754,4065,1493,2572,307,125,182
217305,10,1850,1034,816,1692,965,727,158,69,89
217323,10,487,450,37,487,450,37,,,
217402,10,4635,2123,2512,4295,1977,2318,340,146,194
217420,10,5767,1666,4101,4307,1302,3005,1460,364,1096
217475,10,12518,4697,7821,5072,2217,2855,7446,2480,4966
217484,10,17351,7179,10172,14703,6013,8690,2648,1166,1482
217493,10,2540,771,1769,2540,771,1769,,,
217518,10,4344,2098,2246,3865,1852,2013,479,246,233
217536,10,2836,863,1973,2252,679,1573,584,184,400
217581,10,132,6,126,106,5,101,26,1,25
217606,10,128,74,54,67,37,30,61,37,24
217615,10,2218,788,1430,668,260,408,1550,528,1022
217624,10,677,381,296,646,370,276,31,11,20
217633,10,4325,1655,2670,3398,1225,2173,927,430,497
217688,10,3545,1317,2228,2857,1048,1809,688,269,419
217712,10,2349,723,1626,537,190,347,1812,533,1279
217721,10,1731,822,909,1567,738,829,164,84,80
217749,10,2893,1364,1529,2224,1041,1183,669,323,346
217776,10,1188,378,810,669,264,405,519,114,405
217794,10,89,2,87,64,2,62,25,0,25
217819,10,11729,3701,8028,10155,3206,6949,1574,495,1079
217828,10,32,0,32,25,0,25,7,0,7
217837,10,1477,485,992,252,79,173,1225,406,819
217864,10,3727,2831,896,2676,2246,430,1051,585,466
217873,10,1835,489,1346,1664,451,1213,171,38,133
217882,10,28747,13520,15227,25623,12218,13405,3124,1302,1822
217891,10,106,45,61,99,42,57,7,3,4
217907,10,1263,560,703,795,337,458,468,223,245
217925,10,2631,1192,1439,1283,672,611,1348,520,828
217934,10,1572,256,1316,1075,203,872,497,53,444
217961,10,1341,313,1028,920,234,686,421,79,342
217989,10,646,271,375,348,176,172,298,95,203
217998,10,984,695,289,821,583,238,163,112,51
218025,10,3521,1254,2267,1230,540,690,2291,714,1577
218061,10,4017,1371,2646,2610,904,1706,1407,467,940
218070,10,2505,1036,1469,2412,1003,1409,93,33,60
218113,10,10661,4231,6430,4008,1754,2254,6653,2477,4176
218140,10,7353,2657,4696,3248,1400,1848,4105,1257,2848
218159,10,125,6,119,93,5,88,32,1,31
218195,10,124,4,120,83,4,79,41,0,41
218229,10,4363,1363,3000,3382,1078,2304,981,285,696
218238,10,1782,871,911,1367,694,673,415,177,238
218335,10,3117,890,2227,2834,856,1978,283,34,249
218353,10,8978,3444,5534,3669,1667,2002,5309,1777,3532
218399,10,421,201,220,409,194,215,12,7,5
218414,10,1507,813,694,1471,791,680,36,22,14
218441,10,2219,991,1228,1870,883,987,349,108,241
218487,10,2146,648,1498,756,272,484,1390,376,1014
218520,10,4999,1665,3334,1822,705,1117,3177,960,2217
218539,10,1136,504,632,1091,488,603,45,16,29
218645,10,3855,1378,2477,2562,980,1582,1293,398,895
218654,10,2121,683,1438,1726,568,1158,395,115,280
218663,10,36579,14993,21586,32556,13556,19000,4023,1437,2586
218672,10,2328,986,1342,770,345,425,1558,641,917
218681,10,809,310,499,305,145,160,504,165,339
218690,10,1692,702,990,563,256,307,1129,446,683
218706,10,1392,648,744,308,170,138,1084,478,606
218724,10,10829,4813,6016,9703,4363,5340,1126,450,676
218733,10,3041,1296,1745,2739,1172,1567,302,124,178
218742,10,4946,1617,3329,3601,1226,2375,1345,391,954
218751,10,381,175,206,381,175,206,,,
218821,10,1029,466,563,993,445,548,36,21,15
218830,10,6330,2417,3913,2427,1083,1344,3903,1334,2569
218858,10,3004,966,2038,817,352,465,2187,614,1573
218885,10,5780,2662,3118,3212,1674,1538,2568,988,1580
218894,10,14025,5130,8895,4664,1895,2769,9361,3235,6126
218919,10,515,249,266,455,210,245,60,39,21
218955,10,629,198,431,78,16,62,551,182,369
218964,10,4694,1458,3236,3467,1160,2307,1227,298,929
218973,10,1873,878,995,1867,875,992,6,3,3
218991,10,4731,1863,2868,2013,889,1124,2718,974,1744
219000,10,2158,832,1326,1943,764,1179,215,68,147
219037,10,65,2,63,61,2,59,4,0,4
219046,10,3475,1259,2216,1597,548,1049,1878,711,1167
219082,10,3508,2229,1279,1650,1121,529,1858,1108,750
219091,10,886,399,487,690,342,348,196,57,139
219125,10,79,3,76,72,1,71,7,2,5
219143,10,2179,1133,1046,1399,860,539,780,273,507
219189,10,1132,747,385,827,585,242,305,162,143
219198,10,1314,638,676,818,394,424,496,244,252
219204,10,1026,518,508,157,88,69,869,430,439
219240,10,1105,703,402,126,71,55,979,632,347
219259,10,3521,1320,2201,1103,489,614,2418,831,1587
219277,10,1229,344,885,512,154,358,717,190,527
219347,10,2492,1904,588,1940,1501,439,552,403,149
219356,10,11498,5078,6420,8283,3885,4398,3215,1193,2022
219374,10,683,155,528,259,56,203,424,99,325
219383,10,1509,618,891,1231,491,740,278,127,151
219392,10,27,4,23,27,4,23,,,
219408,10,215,82,133,150,59,91,65,23,42
219426,10,2478,1106,1372,1275,704,571,1203,402,801
219453,10,148,2,146,148,2,146,,,
219471,10,9868,3682,6186,6145,2303,3842,3723,1379,2344
219480,10,1047,485,562,513,265,248,534,220,314
219505,10,48,30,18,38,23,15,10,7,3
219587,10,63,0,63,63,0,63,,,
219596,10,365,270,95,215,143,72,150,127,23
219602,10,9945,3927,6018,5985,2319,3666,3960,1608,2352
219639,10,755,67,688,279,28,251,476,39,437
219709,10,8862,2953,5909,8251,2700,5551,611,253,358
219718,10,2974,1394,1580,1800,975,825,1174,419,755
219790,10,1548,709,839,749,383,366,799,326,473
219806,10,2735,1066,1669,1500,730,770,1235,336,899
219824,10,6601,2524,4077,3065,1219,1846,3536,1305,2231
219833,10,2043,992,1051,1562,809,753,481,183,298
219842,10,501,324,177,173,123,50,328,201,127
219851,10,98,1,97,98,1,97,,,
219879,10,3254,1391,1863,1516,690,826,1738,701,1037
219888,10,5115,2006,3109,2617,1085,1532,2498,921,1577
219903,10,420,28,392,420,28,392,,,
219949,10,3072,1409,1663,2072,961,1111,1000,448,552
219976,10,5047,1786,3261,4441,1520,2921,606,266,340
219994,10,1229,863,366,591,373,218,638,490,148
220057,10,3143,942,2201,1258,442,816,1885,500,1385
220075,10,13586,5144,8442,10390,4011,6379,3196,1133,2063
220118,10,311,28,283,311,28,283,,,
220127,10,1093,702,391,470,247,223,623,455,168
220163,10,79,2,77,49,1,48,30,1,29
220181,10,1005,320,685,965,307,658,40,13,27
220206,10,389,197,192,192,102,90,197,95,102
220215,10,2294,980,1314,1296,587,709,998,393,605
220251,10,719,426,293,212,121,91,507,305,202
220279,10,701,449,252,167,118,49,534,331,203
220321,10,1506,743,763,278,152,126,1228,591,637
220394,10,422,270,152,214,124,90,208,146,62
220400,10,3078,962,2116,1674,546,1128,1404,416,988
220464,10,160,51,109,64,19,45,96,32,64
220473,10,950,448,502,739,332,407,211,116,95
220491,10,231,3,228,142,1,141,89,2,87
220516,10,1295,486,809,1049,391,658,246,95,151
220552,10,8234,1272,6962,6813,1119,5694,1421,153,1268
220598,10,822,465,357,785,445,340,37,20,17
220604,10,646,256,390,506,198,308,140,58,82
220613,10,3680,1423,2257,2582,957,1625,1098,466,632
220631,10,5805,1855,3950,5067,1660,3407,738,195,543
220640,10,1093,706,387,300,144,156,793,562,231
220701,10,978,390,588,792,325,467,186,65,121
220710,10,1147,528,619,1027,476,551,120,52,68
220756,10,170,149,21,109,91,18,61,58,3
220765,10,329,57,272,223,40,183,106,17,89
220792,10,1083,342,741,1083,342,741,,,
220853,10,1691,1182,509,870,586,284,821,596,225
220862,10,21736,8815,12921,13874,5783,8091,7862,3032,4830
220871,10,195,87,108,153,66,87,42,21,21
220978,10,20183,9377,10806,14784,7089,7695,5399,2288,3111
220996,10,308,133,175,216,96,120,92,37,55
221050,10,714,521,193,564,390,174,150,131,19
221096,10,6060,2369,3691,3101,1326,1775,2959,1043,1916
221102,10,630,453,177,423,313,110,207,140,67
221148,10,1062,978,84,1062,978,84,,,
221184,10,6608,2374,4234,2777,1075,1702,3831,1299,2532
221236,10,2302,1516,786,543,319,224,1759,1197,562
221281,10,278,129,149,191,79,112,87,50,37
221333,10,705,544,161,167,94,73,538,450,88
221351,10,1952,816,1136,1900,802,1098,52,14,38
221397,10,4822,1674,3148,2404,926,1478,2418,748,1670
221430,10,1412,940,472,236,166,70,1176,774,402
221485,10,6980,2521,4459,2807,1031,1776,4173,1490,2683
221494,10,544,448,96,306,242,64,238,206,32
221519,10,1693,801,892,1641,775,866,52,26,26
221582,10,462,346,116,154,111,43,308,235,73
221591,10,706,491,215,305,193,112,401,298,103
221607,10,656,485,171,201,132,69,455,353,102
221616,10,2427,1537,890,527,365,162,1900,1172,728
221625,10,1206,797,409,715,426,289,491,371,120
221643,10,8710,4053,4657,4283,2069,2214,4427,1984,2443
221661,10,3154,1390,1764,2500,1124,1376,654,266,388
221670,10,525,165,360,525,165,360,,,
221731,10,1074,395,679,972,356,616,102,39,63
221740,10,11380,4678,6702,9813,3948,5865,1567,730,837
221759,10,36304,16466,19838,32058,14509,17549,4246,1957,2289
221768,10,6941,2588,4353,4503,1695,2808,2438,893,1545
221829,10,337,8,329,337,8,329,,,
221838,10,8198,2819,5379,6553,2229,4324,1645,590,1055
221847,10,10117,5334,4783,8160,4451,3709,1957,883,1074
221892,10,3196,1089,2107,2387,839,1548,809,250,559
221908,10,5474,2672,2802,2672,1239,1433,2802,1433,1369
221953,10,1200,604,596,955,522,433,245,82,163
221971,10,2674,915,1759,1890,637,1253,784,278,506
221999,10,13456,5971,7485,12711,5710,7001,745,261,484
222053,10,6605,2484,4121,3543,1416,2127,3062,1068,1994
222062,10,5833,2100,3733,2813,1099,1714,3020,1001,2019
222105,10,461,431,30,213,204,9,248,227,21
222178,10,5114,1786,3328,3429,1293,2136,1685,493,1192
222567,10,5830,2412,3418,1316,576,740,4514,1836,2678
222576,10,9215,3328,5887,3455,1431,2024,5760,1897,3863
222628,10,897,234,663,135,33,102,762,201,561
222822,10,3896,1447,2449,1319,480,839,2577,967,1610
222831,10,11250,4669,6581,5936,2436,3500,5314,2233,3081
222877,10,276,173,103,263,164,99,13,9,4
222886,10,439,29,410,439,29,410,,,
222983,10,1136,542,594,1131,540,591,5,2,3
222992,10,35600,15440,20160,8698,4235,4463,26902,11205,15697
223001,10,168,65,103,49,20,29,119,45,74
223056,10,46,0,46,46,0,46,,,
223083,10,524,88,436,167,18,149,357,70,287
223117,10,95,77,18,6,5,1,89,72,17
223223,10,1699,704,995,1683,694,989,16,10,6
223232,10,20824,8060,12764,18931,7472,11459,1893,588,1305
223320,10,3792,1368,2424,734,278,456,3058,1090,1968
223427,10,18545,9087,9458,8669,4533,4136,9876,4554,5322
223463,10,208,79,129,208,79,129,,,
223472,10,190,23,167,190,23,167,,,
223506,10,4100,1833,2267,558,283,275,3542,1550,1992
223816,10,8192,3496,4696,1792,739,1053,6400,2757,3643
223852,10,58,0,58,58,0,58,,,
223898,10,3001,1125,1876,1016,424,592,1985,701,1284
223922,10,1407,619,788,557,251,306,850,368,482
224004,10,1614,543,1071,1239,431,808,375,112,263
224013,10,39,2,37,39,2,37,,,
224110,10,7544,3153,4391,2142,892,1250,5402,2261,3141
224147,10,10855,4372,6483,6747,2729,4018,4108,1643,2465
224156,10,322,9,313,245,6,239,77,3,74
224226,10,4201,1743,2458,2820,1173,1647,1381,570,811
224244,10,278,184,94,243,163,80,35,21,14
224271,10,483,116,367,265,70,195,218,46,172
224305,10,2612,1487,1125,761,447,314,1851,1040,811
224323,10,2182,1051,1131,1581,749,832,601,302,299
224350,10,9720,4109,5611,1573,705,868,8147,3404,4743
224527,10,1833,852,981,1326,648,678,507,204,303
224545,10,2109,808,1301,1387,586,801,722,222,500
224554,10,12013,4594,7419,7215,2832,4383,4798,1762,3036
224615,10,66592,27454,39138,16794,7529,9265,49798,19925,29873
224642,10,24420,10489,13931,7232,3180,4052,17188,7309,9879
224660,10,635,343,292,500,284,216,135,59,76
224679,10,1148,969,179,594,480,114,554,489,65
224712,10,116,33,83,59,22,37,57,11,46
224758,10,25,0,25,18,0,18,7,0,7
224828,10,41,1,40,38,1,37,3,0,3
224891,10,1748,759,989,640,261,379,1108,498,610
224961,10,2119,714,1405,703,273,430,1416,441,975
225043,10,8,6,2,8,6,2,,,
225070,10,4176,1724,2452,1522,631,891,2654,1093,1561
225201,10,879,550,329,879,550,329,,,
225247,10,1655,751,904,1517,689,828,138,62,76
225308,10,5300,2084,3216,1521,605,916,3779,1479,2300
225371,10,4000,1551,2449,1139,498,641,2861,1053,1808
225399,10,4189,1442,2747,2415,938,1477,1774,504,1270
225414,10,8211,3118,5093,4063,1530,2533,4148,1588,2560
225423,10,49749,20691,29058,15257,6812,8445,34492,13879,20613
225432,10,14105,5380,8725,6396,2606,3790,7709,2774,4935
225502,10,3784,1314,2470,1493,514,979,2291,800,1491
225511,10,46676,22339,24337,33850,15875,17975,12826,6464,6362
225520,10,4136,1676,2460,950,293,657,3186,1383,1803
225548,10,833,453,380,670,361,309,163,92,71
225575,10,1029,478,551,738,397,341,291,81,210
225627,10,7251,2744,4507,6204,2311,3893,1047,433,614
225876,10,509,221,288,186,105,81,323,116,207
225885,10,800,374,426,750,352,398,50,22,28
225991,10,87,51,36,87,51,36,,,
226019,10,6067,2402,3665,2057,850,1207,4010,1552,2458
226091,10,17473,6000,11473,11487,4171,7316,5986,1829,4157
226107,10,3162,1211,1951,830,307,523,2332,904,1428
226116,10,3802,1636,2166,809,316,493,2993,1320,1673
226134,10,10191,4353,5838,3582,1449,2133,6609,2904,3705
226152,10,8536,3240,5296,5767,2273,3494,2769,967,1802
226204,10,8143,4137,4006,1305,770,535,6838,3367,3471
226231,10,3389,1811,1578,1414,913,501,1975,898,1077
226277,10,1330,1215,115,1330,1215,115,,,
226383,10,1589,568,1021,1175,461,714,414,107,307
226408,10,4961,1900,3061,1367,598,769,3594,1302,2292
226471,10,3520,1260,2260,3180,1146,2034,340,114,226
226578,10,7217,2383,4834,2304,780,1524,4913,1603,3310
226587,10,2549,1233,1316,1059,570,489,1490,663,827
226675,10,333,57,276,333,57,276,,,
226806,10,5219,2091,3128,1543,584,959,3676,1507,2169
226833,10,5573,2038,3535,3693,1393,2300,1880,645,1235
226860,10,40,0,40,40,0,40,,,
226879,10,205,39,166,80,17,63,125,22,103
226903,10,1079,437,642,1079,437,642,,,
227058,10,108,2,106,108,2,106,,,
227146,10,6549,2488,4061,2241,906,1335,4308,1582,2726
227182,10,70991,29421,41570,19428,8793,10635,51563,20628,30935
227216,10,47507,21782,25725,37920,17587,20333,9587,4195,5392
227225,10,3105,1154,1951,1193,422,771,1912,732,1180
227289,10,179,115,64,110,92,18,69,23,46
227298,10,195,182,13,195,182,13,,,
227304,10,8708,3698,5010,2751,965,1786,5957,2733,3224
227313,10,319,8,311,116,5,111,203,3,200
227322,10,447,7,440,187,2,185,260,5,255
227331,10,2096,543,1553,1836,487,1349,260,56,204
227368,10,31931,12973,18958,21945,8864,13081,9986,4109,5877
227377,10,8193,3528,4665,1906,900,1006,6287,2628,3659
227386,10,2356,798,1558,954,316,638,1402,482,920
227401,10,4456,1770,2686,1542,649,893,2914,1121,1793
227429,10,602,220,382,379,158,221,223,62,161
227526,10,9517,3161,6356,8476,2769,5707,1041,392,649
227687,10,2498,1154,1344,870,401,469,1628,753,875
227748,10,281,254,27,210,190,20,71,64,7
227757,10,8556,4802,3754,7972,4428,3544,584,374,210
227845,10,3309,1256,2053,2758,1087,1671,551,169,382
227854,10,14281,6280,8001,1857,966,891,12424,5314,7110
227863,10,3813,1621,2192,2608,1028,1580,1205,593,612
227881,10,21403,7786,13617,15644,5777,9867,5759,2009,3750
227924,10,18975,7492,11483,4171,1719,2452,14804,5773,9031
227979,10,31494,12960,18534,10641,4559,6082,20853,8401,12452
228042,10,1208,535,673,1130,511,619,78,24,54
228088,10,26,1,25,26,1,25,,,
228149,10,3411,1429,1982,2761,1153,1608,650,276,374
228158,10,8866,3551,5315,3845,1708,2137,5021,1843,3178
228185,10,23,18,5,23,18,5,,,
228194,10,1036,446,590,822,349,473,214,97,117
228200,10,263,138,125,261,138,123,2,0,2
228219,10,496,213,283,473,207,266,23,6,17
228246,10,11842,5935,5907,9360,4605,4755,2482,1330,1152
228282,10,22,5,17,22,5,17,,,
228316,10,6579,2704,3875,2210,848,1362,4369,1856,2513
228325,10,1725,842,883,1283,640,643,442,202,240
228343,10,1457,656,801,1443,649,794,14,7,7
228431,10,10888,3987,6901,8345,3071,5274,2543,916,1627
228459,10,38722,15257,23465,31648,12296,19352,7074,2961,4113
228468,10,817,361,456,593,255,338,224,106,118
228486,10,128,54,74,115,45,70,13,9,4
228501,10,1942,789,1153,951,505,446,991,284,707
228529,10,15937,5870,10067,9849,3641,6208,6088,2229,3859
228547,10,41472,17607,23865,7480,3427,4053,33992,14180,19812
228608,10,4732,1617,3115,1564,574,990,3168,1043,2125
228635,10,2501,1105,1396,1845,772,1073,656,333,323
228644,10,3640,1285,2355,3143,1115,2028,497,170,327
228653,10,3315,991,2324,2328,784,1544,987,207,780
228699,10,3882,1492,2390,1119,427,692,2763,1065,1698
228705,10,6562,3209,3353,4808,2450,2358,1754,759,995
228723,10,76633,40654,35979,65547,34687,30860,11086,5967,5119
228769,10,43992,17772,26220,25975,12084,13891,18017,5688,12329
228778,10,53082,23187,29895,49894,21626,28268,3188,1561,1627
228787,10,30885,17566,13319,25108,14225,10883,5777,3341,2436
228796,10,24351,10928,13423,16154,7415,8739,8197,3513,4684
228802,10,9678,3631,6047,5874,2294,3580,3804,1337,2467
228866,10,267,140,127,259,139,120,8,1,7
228875,10,12785,4883,7902,12443,4736,7707,342,147,195
228884,10,644,420,224,604,398,206,40,22,18
228909,10,2344,780,1564,2130,727,1403,214,53,161
228981,10,1361,618,743,1297,589,708,64,29,35
229018,10,5899,2273,3626,3588,1371,2217,2311,902,1409
229027,10,34864,16554,18310,24829,11622,13207,10035,4932,5103
229063,10,8469,2887,5582,7186,2453,4733,1283,434,849
229115,10,40773,20016,20757,34898,17399,17499,5875,2617,3258
229160,10,2595,1097,1498,1976,891,1085,619,206,413
229179,10,15664,1902,13762,8828,781,8047,6836,1121,5715
229267,10,2694,1239,1455,2603,1190,1413,91,49,42
229300,10,5048,1548,3500,3298,1134,2164,1750,414,1336
229337,10,4890,1215,3675,3605,963,2642,1285,252,1033
229355,10,11977,4516,7461,5172,2052,3120,6805,2464,4341
229416,10,1823,1704,119,1823,1704,119,,,
229425,10,92,0,92,33,0,33,59,0,59
229504,10,2136,769,1367,674,282,392,1462,487,975
229522,10,64,4,60,34,1,33,30,3,27
229540,10,3214,1036,2178,845,383,462,2369,653,1716
229656,10,336,10,326,133,6,127,203,4,199
229780,10,2861,1362,1499,1661,812,849,1200,550,650
229799,10,5440,1964,3476,1634,626,1008,3806,1338,2468
229814,10,8997,3627,5370,6067,2432,3635,2930,1195,1735
229832,10,1434,701,733,426,224,202,1008,477,531
229841,10,5687,2428,3259,2252,1086,1166,3435,1342,2093
229887,10,636,299,337,614,292,322,22,7,15
230010,10,1534,899,635,597,300,297,937,599,338
230038,10,35074,16989,18085,31055,14993,16062,4019,1996,2023
230047,10,2836,1191,1645,2695,1139,1556,141,52,89
230065,10,277,5,272,102,2,100,175,3,172
230144,10,81,0,81,81,0,81,,,
230162,10,3859,2418,1441,525,228,297,3334,2190,1144
230171,10,12567,5394,7173,7240,2968,4272,5327,2426,2901
230199,10,64,2,62,64,2,62,,,
230205,10,57,2,55,36,2,34,21,0,21
230214,10,289,45,244,112,15,97,177,30,147
230366,10,313,52,261,313,52,261,,,
230418,10,5973,2987,2986,1565,875,690,4408,2112,2296
230490,10,3096,1870,1226,353,116,237,2743,1754,989
230597,10,5506,2500,3006,3201,1509,1692,2305,991,1314
230603,10,15033,6272,8761,8984,3886,5098,6049,2386,3663
230676,10,1184,809,375,121,76,45,1063,733,330
230728,10,28063,12608,15455,17941,8201,9740,10122,4407,5715
230737,10,44651,22321,22330,20130,10224,9906,24521,12097,12424
230746,10,26764,12140,14624,6069,2807,3262,20695,9333,11362
230764,10,35260,17995,17265,29283,14985,14298,5977,3010,2967
230782,10,30536,13273,17263,12416,5307,7109,18120,7966,10154
230807,10,1214,450,764,1108,415,693,106,35,71
230816,10,867,270,597,819,230,589,48,40,8
230852,10,3328,2012,1316,2214,1373,841,1114,639,475
230861,10,5377,1641,3736,822,271,551,4555,1370,3185
230889,10,263,79,184,221,68,153,42,11,31
