data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,16,183933144,2.000,1,17688695
2024,12,179976910,0.900,1,17098075
2024,1,182836730,0.900,1,17523010
2024,2,182836730,8.100,1,17523011
2024,16,179976977,4.360,1,17098077
2024,4,179976989,1.300,1,17098078
2024,12,180025786,3.000,1,17104756
2024,12,179977016,18.000,1,17098085
2024,12,181593338,1.080,1,17330221
2024,12,179977045,0.941,1,17098088
2024,12,179977061,40.907,1,17098089
2024,12,179977065,10.700,1,17098090
2024,2,182836732,24.100,1,17523013
2024,12,182836732,2.000,1,17523014
2024,16,182836732,4.160,1,17523015
2024,12,179977139,1.000,9,17098091
2024,12,179977147,4.220,1,17098092
2024,16,179977163,2.218,1,17098093
2024,12,186592067,4.210,1,18094373
2024,12,181593341,5.400,1,17330223
2024,1,192031290,22.000,1,18898935
2024,4,192031290,140.500,1,18898936
2024,4,179977250,1.000,11,17098096
2024,5,179977250,1.000,11,17098097
2024,16,179977250,1.000,11,17098098
2024,12,179977254,1.000,1,17098099
2024,4,179977259,24.737,1,17098100
2024,12,179977259,7.657,1,17098101
2024,4,179977288,10.000,1,17098103
2024,12,181593347,4.644,1,17330226
2024,12,181593349,0.249,1,17330227
2024,12,179977318,1.810,1,17098105
2024,5,179977335,79.000,9,17098106
2024,5,179977335,10432.625,1,17098107
2024,4,179977344,23.480,1,17098109
2024,12,179977370,1.000,1,17098110
2024,12,179977386,11.000,1,17098111
2024,12,179977389,3.690,1,17098112
2024,12,181593357,347.282,1,17330229
2024,2,179977394,0.600,1,17098114
2024,4,179977394,1.400,1,17098115
2024,12,179977395,0.770,1,17098116
2024,16,179977395,0.920,1,17098117
2024,12,179977407,17.800,1,17098118
2024,2,181593364,3.605,1,17330231
2024,17,181593368,0.070,1,17330232
2024,5,179977464,8177.817,1,17098119
2024,16,181593372,1.425,1,17330233
2024,9,182836735,4.000,9,17523016
2024,7,182836736,4.700,1,17523017
2024,8,182836736,1.000,9,17523018
2024,12,182836736,22.240,1,17523019
2024,12,182004733,8.030,1,17397192
2024,12,181593390,1.000,1,17330235
2024,12,181593392,0.800,1,17330236
2024,5,182836737,521.631,1,17523020
2024,5,179977596,535.239,1,17098122
2024,8,179977605,10.000,9,17098123
2024,12,181593400,0.700,1,17330238
2024,17,181593400,2.100,1,17330239
2024,2,181593407,0.380,1,17330240
2024,4,179977621,0.800,1,17098124
2024,12,179977621,0.800,1,17098125
2024,12,181593418,5.240,1,17330241
2024,12,181593426,39.000,1,17330242
2024,12,182186574,1.800,1,17420212
2024,2,185605655,0.620,1,17948867
2024,5,185605655,255.000,1,17948868
2024,12,181593437,9.600,1,17330246
2024,12,181593446,19.600,1,17330248
2024,12,181593449,33.000,1,17330249
2024,12,181593450,28.700,1,17330250
2024,12,181593471,3.000,1,17330252
2024,12,181593485,1.800,1,17330253
2024,12,181593506,2.267,1,17330254
2024,5,181593509,0.028,1,17330255
2024,12,181593517,0.600,1,17330256
2024,2,181593524,10.000,1,17330258
2024,12,181593529,21.600,1,17330259
2024,12,182004739,0.730,1,17397195
2024,12,181593581,30.200,1,17330264
2024,16,181593581,15.180,1,17330265
2024,4,182836753,6.000,1,17523021
2024,16,182836754,0.253,1,17523022
2024,16,181593586,1.000,9,17330266
2024,2,182836756,434.000,1,17523023
2024,12,182004748,3.600,1,17397197
2024,12,181593627,22.900,1,17330270
2024,12,181593628,24.600,1,17330271
2024,12,182004750,1.652,1,17397199
2024,12,181593644,3.300,1,17330273
2024,16,181593648,0.300,1,17330274
2024,12,181593654,10.730,1,17330275
2024,12,185605658,3.887,1,17948869
2024,1,181593664,0.400,1,17330277
2024,12,182836765,1.712,1,17523024
2024,1,181593667,11.800,1,17330278
2024,4,181593667,2.100,1,17330279
2024,1,181593674,0.800,1,17330281
2024,16,183634367,4.500,1,17646233
2024,12,181593682,1.000,1,17330282
2024,4,182004757,10.940,1,17397201
2024,4,182004757,0.500,5,17397202
2024,5,182836779,1.000,11,17523026
2024,12,181593729,9.100,1,17330287
2024,8,182836787,1.468,1,17523027
2024,12,182836796,1.000,11,17523028
2024,12,181593781,0.023,1,17330289
2024,12,182836817,0.500,1,17523030
2024,2,183637893,0.388,1,17646544
2024,12,182836837,1.056,1,17523032
2024,2,183933153,0.273,1,17688699
2024,5,183933153,338.100,1,17688700
2024,12,182836842,13.099,1,17523033
2024,12,182836849,0.850,1,17523034
2024,12,182836851,4.572,1,17523035
2024,5,182836855,462.333,1,17523036
2024,12,183637896,2.070,1,17646548
2024,12,182836873,0.150,1,17523038
2024,17,182836883,8.100,1,17523039
2024,12,182836889,2.400,1,17523040
2024,5,185605665,5288.887,1,17948870
2024,5,185605665,1596.969,5,17948871
2024,5,182836898,47.208,1,17523041
2024,12,182836904,0.934,1,17523042
2024,12,182836917,15.400,1,17523043
2024,12,182836918,14.500,1,17523044
2024,12,182836920,2.658,1,17523045
2024,12,182836926,0.300,1,17523046
2024,5,182836928,957.080,1,17523047
2024,16,183933157,0.537,1,17688705
2024,12,182836940,16.000,5,17523048
2024,12,183356368,2.800,1,17604946
2024,12,182836960,32.860,1,17523051
2024,12,182836963,7257.478,1,17523052
2024,16,182836968,29.800,1,17523053
2024,5,182836978,40.500,1,17523054
2024,16,182836978,82.200,1,17523055
2024,12,183933162,2.850,1,17688707
2024,12,182836982,18.800,1,17523057
2024,12,186006247,7.209,1,18006041
2024,5,183933166,2640.000,10,17688709
2024,12,183637904,1.520,1,17646549
2024,1,185605669,3.114,1,17948874
2024,4,192031297,30.000,9,18898939
2024,2,185605670,0.708,1,17948875
2024,5,182837000,584.750,1,17523060
2024,12,183933175,1.380,1,17688710
2024,5,182837014,300.000,1,17523063
2024,12,183933179,1.410,1,17688712
2024,12,185605672,1.580,1,17948876
2024,12,182837027,21.300,1,17523067
