data_year,victim_id,circumstances_id,justifiable_force_id
2024,225893525,21,1
2024,225943272,21,1
2024,215367062,21,1
2024,208459507,21,1
2024,218717239,21,1
2024,221182684,21,1
2024,227753655,21,1
2024,224821567,21,1
2024,232001963,21,1
2024,232000702,21,1
2024,230513520,21,1
2024,230352541,21,2
2024,231953131,21,2
2024,227529281,20,3
2024,232106868,21,3
2024,232212425,21,3
2024,232282464,20,3
2024,225879874,20,3
2024,226460462,20,3
2024,220001803,21,3
2024,224895115,20,3
2024,231952133,20,3
2024,231998027,20,3
2024,214152113,20,5
2024,220034709,20,5
2024,232311693,21,5
2024,231953139,21,6
2024,232441629,21,6
