county_name,offense_category_name,offense_name,offense_rows,county_population,offenses_per_100k
ALAMEDA,Animal Cruelty,Animal Cruelty,40,1037336,3.856031218428744
ALAMEDA,Arson,Arson,274,1037336,26.4138138462369
ALAMEDA,Assault Offenses,Aggravated Assault,2121,1037336,204.4660553571842
ALAMEDA,Assault Offenses,Intimidation,905,1037336,87.24270631695035
ALAMEDA,Assault Offenses,Simple Assault,5809,1037336,559.9921336963143
ALAMEDA,Bribery,Bribery,2,1037336,0.19280156092143724
ALAMEDA,Burglary/Breaking & Entering,Burglary/Breaking & Entering,3574,1037336,344.5363893666083
ALAMEDA,Counterfeiting/Forgery,Counterfeiting/Forgery,366,1037336,35.282685648623016
ALAMEDA,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,5498,1037336,530.011490973031
ALAMEDA,Drug/Narcotic Offenses,Drug Equipment Violations,2370,1037336,228.4698496919031
ALAMEDA,Drug/Narcotic Offenses,Drug/Narcotic Violations,2747,1037336,264.812943925594
ALAMEDA,Embezzlement,Embezzlement,107,1037336,10.314883509296891
ALAMEDA,Extortion/Blackmail,Extortion/Blackmail,75,1037336,7.230058534553896
ALAMEDA,Fraud Offenses,Credit Card/Automated Teller Machine Fraud,263,1037336,25.353405261168994
ALAMEDA,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1615,1037336,155.68726044406057
ALAMEDA,Fraud Offenses,Hacking/Computer Invasion,9,1037336,0.8676070241464674
ALAMEDA,Fraud Offenses,Identity Theft,1357,1037336,130.81585908519517
ALAMEDA,Fraud Offenses,Impersonation,267,1037336,25.73900838301187
ALAMEDA,Homicide Offenses,Murder and Nonnegligent Manslaughter,35,1037336,3.3740273161251513
ALAMEDA,Homicide Offenses,Negligent Manslaughter,9,1037336,0.8676070241464674
ALAMEDA,Human Trafficking,"Human Trafficking, Commercial Sex Acts",2,1037336,0.19280156092143724
ALAMEDA,Human Trafficking,"Human Trafficking, Involuntary Servitude",1,1037336,0.09640078046071862
ALAMEDA,Kidnapping/Abduction,Kidnapping/Abduction,273,1037336,26.317413065776183
ALAMEDA,Larceny/Theft Offenses,All Other Larceny,5251,1037336,506.2004981992334
ALAMEDA,Larceny/Theft Offenses,Pocket-picking,183,1037336,17.641342824311508
ALAMEDA,Larceny/Theft Offenses,Purse-snatching,53,1037336,5.109241364418087
ALAMEDA,Larceny/Theft Offenses,Shoplifting,5152,1037336,496.6568209336223
ALAMEDA,Larceny/Theft Offenses,Theft From Building,1168,1037336,112.59611157811935
ALAMEDA,Larceny/Theft Offenses,Theft From Coin-Operated Machine or Device,63,1037336,6.073249169025273
ALAMEDA,Larceny/Theft Offenses,Theft From Motor Vehicle,7045,1037336,679.1434983457626
ALAMEDA,Larceny/Theft Offenses,Theft of Motor Vehicle Parts or Accessories,2826,1037336,272.4286055819908
ALAMEDA,Motor Vehicle Theft,Motor Vehicle Theft,8779,1037336,846.3024516646487
ALAMEDA,Pornography/Obscene Material,Pornography/Obscene Material,60,1037336,5.784046827643116
ALAMEDA,Prostitution Offenses,Assisting or Promoting Prostitution,7,1037336,0.6748054632250303
ALAMEDA,Prostitution Offenses,Prostitution,13,1037336,1.2532101459893419
ALAMEDA,Prostitution Offenses,Purchasing Prostitution,3,1037336,0.28920234138215584
ALAMEDA,Robbery,Robbery,1282,1037336,123.58580055064127
ALAMEDA,Sex Offenses,Criminal Sexual Contact,273,1037336,26.317413065776183
ALAMEDA,Sex Offenses,Rape,206,1037336,19.858560774908035
ALAMEDA,Sex Offenses,Sexual Assault With An Object,37,1037336,3.5668288770465884
ALAMEDA,Sex Offenses,Sodomy,59,1037336,5.687646047182398
ALAMEDA,"Sex Offenses, Non-forcible",Statutory Rape,20,1037336,1.928015609214372
ALAMEDA,Stolen Property Offenses,Stolen Property Offenses,1030,1037336,99.29280387454017
ALAMEDA,Weapon Law Violations,Weapon Law Violations,1508,1037336,145.37237693476368
ALPINE,Assault Offenses,Aggravated Assault,9,1139,790.1668129938544
ALPINE,Assault Offenses,Intimidation,1,1139,87.7963125548727
ALPINE,Assault Offenses,Simple Assault,15,1139,1316.9446883230905
ALPINE,Burglary/Breaking & Entering,Burglary/Breaking & Entering,2,1139,175.5926251097454
ALPINE,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,8,1139,702.3705004389816
ALPINE,Drug/Narcotic Offenses,Drug Equipment Violations,2,1139,175.5926251097454
ALPINE,Drug/Narcotic Offenses,Drug/Narcotic Violations,3,1139,263.3889376646181
ALPINE,Fraud Offenses,False Pretenses/Swindle/Confidence Game,4,1139,351.1852502194908
ALPINE,Larceny/Theft Offenses,All Other Larceny,12,1139,1053.5557506584723
ALPINE,Larceny/Theft Offenses,Purse-snatching,1,1139,87.7963125548727
ALPINE,Larceny/Theft Offenses,Theft From Building,1,1139,87.7963125548727
ALPINE,Larceny/Theft Offenses,Theft From Coin-Operated Machine or Device,1,1139,87.7963125548727
ALPINE,Larceny/Theft Offenses,Theft From Motor Vehicle,3,1139,263.3889376646181
ALPINE,Larceny/Theft Offenses,Theft of Motor Vehicle Parts or Accessories,1,1139,87.7963125548727
ALPINE,Motor Vehicle Theft,Motor Vehicle Theft,1,1139,87.7963125548727
ALPINE,Sex Offenses,Criminal Sexual Contact,1,1139,87.7963125548727
ALPINE,Sex Offenses,Rape,1,1139,87.7963125548727
ALPINE,Sex Offenses,Sexual Assault With An Object,1,1139,87.7963125548727
ALPINE,Weapon Law Violations,Weapon Law Violations,8,1139,702.3705004389816
AMADOR,Animal Cruelty,Animal Cruelty,5,42944,11.64307004470939
AMADOR,Arson,Arson,7,42944,16.300298062593146
AMADOR,Assault Offenses,Aggravated Assault,89,42944,207.24664679582713
AMADOR,Assault Offenses,Intimidation,31,42944,72.18703427719821
AMADOR,Assault Offenses,Simple Assault,242,42944,563.5245901639345
AMADOR,Burglary/Breaking & Entering,Burglary/Breaking & Entering,34,42944,79.17287630402384
