,SUMLEV,COUNTY,NAME,POPESTIMATE2024
200,162,0,Kerman city,17497
201,162,0,King City city,13920
202,162,0,Kingsburg city,13128
203,162,0,La Cañada Flintridge city,19621
204,162,0,Lafayette city,25371
205,162,0,Laguna Beach city,22564
206,162,0,Laguna Hills city,30378
207,162,0,Laguna Niguel city,64185
208,162,0,Laguna Woods city,17058
209,162,0,La Habra city,61391
210,162,0,La Habra Heights city,5382
211,162,0,Lake Elsinore city,73595
212,162,0,Lake Forest city,87159
213,162,0,Lakeport city,5104
214,162,0,Lakewood city,78494
215,162,0,La Mesa city,60767
216,162,0,La Mirada city,46367
217,162,0,Lancaster city,167426
218,162,0,La Palma city,15092
219,162,0,La Puente city,36670
220,162,0,La Quinta city,39907
221,162,0,Larkspur city,12807
222,162,0,Lathrop city,40860
223,162,0,La Verne city,30192
224,162,0,Lawndale city,30160
225,162,0,Lemon Grove city,27867
226,162,0,Lemoore city,27057
227,162,0,Lincoln city,56268
228,162,0,Lindsay city,12706
229,162,0,Live Oak city,9503
230,162,0,Livermore city,84867
231,162,0,Livingston city,14767
232,162,0,Lodi city,68642
233,162,0,Loma Linda city,25197
234,162,0,Lomita city,19841
235,162,0,Lompoc city,43594
236,162,0,Long Beach city,450901
237,162,0,Loomis town,6939
238,162,0,Los Alamitos city,11846
239,162,0,Los Altos city,30864
240,162,0,Los Altos Hills town,8435
241,162,0,Los Angeles city,3878704
242,162,0,Los Banos city,48684
243,162,0,Los Gatos town,32952
244,162,0,Loyalton city,712
245,162,0,Lynwood city,63596
246,162,0,McFarland city,14365
247,162,0,Madera city,69094
248,162,0,Malibu city,10298
249,162,0,Mammoth Lakes town,7124
250,162,0,Manhattan Beach city,33453
251,162,0,Manteca city,94292
252,162,0,Maricopa city,1012
253,162,0,Marina city,23047
254,162,0,Martinez city,37006
255,162,0,Marysville city,12714
256,162,0,Maywood city,23838
257,162,0,Mendota city,12623
258,162,0,Menifee city,117041
259,162,0,Menlo Park city,33040
260,162,0,Merced city,96073
261,162,0,Millbrae city,23321
262,162,0,Mill Valley city,13904
263,162,0,Milpitas city,79746
264,162,0,Mission Viejo city,91601
265,162,0,Modesto city,220592
266,162,0,Monrovia city,37787
267,162,0,Montague city,1170
268,162,0,Montclair city,37650
269,162,0,Montebello city,60617
270,162,0,Monterey city,29015
271,162,0,Monterey Park city,57996
272,162,0,Monte Sereno city,3563
273,162,0,Moorpark city,35621
274,162,0,Moraga town,16698
275,162,0,Moreno Valley city,213919
276,162,0,Morgan Hill city,45952
277,162,0,Morro Bay city,10591
278,162,0,Mountain View city,87316
279,162,0,Mount Shasta city,3124
280,162,0,Murrieta city,112539
281,162,0,Napa city,76921
282,162,0,National City city,58460
283,162,0,Needles city,4839
284,162,0,Nevada City city,3195
285,162,0,Newark city,46254
286,162,0,Newman city,12292
287,162,0,Newport Beach city,82970
288,162,0,Norco city,25400
289,162,0,Norwalk city,98230
290,162,0,Novato city,52311
291,162,0,Oakdale city,23209
292,162,0,Oakland city,443554
293,162,0,Oakley city,47158
294,162,0,Oceanside city,170941
295,162,0,Ojai city,7563
296,162,0,Ontario city,185285
297,162,0,Orange city,137941
298,162,0,Orange Cove city,9708
299,162,0,Orinda city,19573
300,162,0,Orland city,8605
