,UNITID,EFLEVEL,EFTOTAL
330,117803,10,220
331,117867,10,10425
332,117894,10,8230
333,117946,10,10256
334,117955,10,277
335,118134,10,96
336,118143,10,77
337,118161,10,114
338,118198,10,1025
339,118347,10,4673
340,118684,10,4032
341,118693,10,840
342,118718,10,11835
343,118772,10,6716
344,118888,10,658
345,118912,10,11707
346,118930,10,6669
347,118958,10,62
348,118976,10,17152
349,118994,10,335
350,119058,10,503
351,119067,10,7351
352,119137,10,14091
353,119164,10,28742
354,119173,10,2308
355,119216,10,17215
356,119270,10,812
357,119331,10,4213
358,119553,10,1134
359,119605,10,19924
360,119678,10,2600
361,119775,10,280
362,119951,10,213
363,120069,10,315
364,120078,10,635
365,120087,10,225
366,120166,10,328
367,120184,10,237
368,120254,10,1854
369,120290,10,8375
370,120342,10,17085
371,120403,10,1284
372,120421,10,6911
373,120537,10,1140
374,120661,10,178
375,120698,10,1223
376,120768,10,1051
377,120795,10,128
378,120838,10,40
379,120865,10,938
380,120883,10,6755
381,120953,10,3461
382,120971,10,18815
383,121044,10,23592
384,121150,10,9545
385,121257,10,1204
386,121309,10,4494
387,121345,10,1664
388,121363,10,4939
389,121433,10,90
390,121619,10,26073
391,121628,10,131
392,121637,10,101
393,121691,10,3192
394,121707,10,4260
395,121859,10,238
396,121868,10,216
397,121886,10,17193
398,121901,10,20437
399,122117,10,93
400,122180,10,19031
401,122205,10,18370
402,122296,10,1894
403,122339,10,13197
404,122375,10,19243
405,122384,10,13569
406,122409,10,39241
407,122436,10,9110
408,122506,10,403
409,122597,10,23908
410,122612,10,9212
411,122649,10,156
412,122658,10,18226
413,122685,10,2369
414,122694,10,820
415,122728,10,1484
416,122746,10,8400
417,122755,10,36062
418,122791,10,9208
419,122889,10,12345
420,122931,10,9340
421,122977,10,23164
422,123013,10,16803
423,123095,10,1055
424,123165,10,1103
425,123217,10,13586
426,123280,10,20
427,123299,10,8081
428,123341,10,17420
429,123350,10,245
430,123448,10,364
431,123457,10,907
432,123484,10,1430
433,123493,10,90
434,123509,10,9428
435,123527,10,12982
436,123554,10,2775
437,123563,10,8868
438,123572,10,5990
439,123633,10,234
440,123642,10,241
441,123651,10,2219
442,123679,10,202
443,123800,10,18469
444,123916,10,73
445,123943,10,686
446,123952,10,457
447,123961,10,47147
448,123970,10,951
449,124113,10,4135
450,124283,10,175
451,124292,10,539
452,124487,10,91
453,124681,10,1036
454,124706,10,260
455,124937,10,143
456,125028,10,11367
457,125037,10,276
458,125082,10,80
459,125091,10,15372
460,125170,10,6547
461,125231,10,44223
462,125310,10,46
463,125462,10,3592
464,125471,10,9299
465,125499,10,7272
466,125532,10,2288
467,125718,10,101
468,125727,10,1310
469,125763,10,859
470,125897,10,898
471,126012,10,511
472,126049,10,244
473,126076,10,157
474,126119,10,5735
475,126182,10,2950
476,126207,10,7529
477,126289,10,13978
478,126359,10,161
479,126562,10,23409
480,126580,10,11213
481,126605,10,321
482,126614,10,41432
483,126669,10,8254
484,126678,10,2173
485,126687,10,196
486,126711,10,5673
487,126748,10,1256
488,126775,10,7599
489,126784,10,108
490,126818,10,33500
491,126827,10,28852
492,126863,10,8684
493,126915,10,247
494,126942,10,7715
495,126951,10,1104
496,126979,10,837
497,127060,10,13387
498,127158,10,5914
499,127185,10,3413
500,127200,10,21096
501,127273,10,172
502,127316,10,307
503,127389,10,711
504,127556,10,8995
505,127565,10,17593
506,127617,10,1506
507,127653,10,1117
508,127714,10,584
509,127732,10,1502
510,127741,10,9067
511,127778,10,972
512,127820,10,12388
513,127884,10,6767
514,127909,10,7382
515,127918,10,4631
516,127945,10,1888
517,127954,10,31
518,128106,10,6691
519,128151,10,1025
520,128179,10,816
521,128188,10,1160
522,128258,10,1636
523,128328,10,4124
524,128337,10,104
525,128391,10,4053
526,128498,10,1161
527,128586,10,50
528,128744,10,4103
529,128771,10,9712
530,128780,10,1766
531,128896,10,220
532,128902,10,1995
533,129002,10,333
534,129020,10,27364
535,129154,10,3034
536,129181,10,971
537,129215,10,3979
538,129242,10,6289
539,129349,10,191
540,129367,10,34991
541,129428,10,144
542,129482,10,396
543,129491,10,103
544,129525,10,5913
545,129534,10,709
546,129774,10,500
547,129923,10,783
548,129932,10,293
549,129941,10,9830
550,130110,10,203
551,130174,10,1405
552,130183,10,21699
553,130226,10,8918
554,130253,10,11179
555,130314,10,1939
556,130493,10,8820
557,130590,10,2276
558,130624,10,1081
559,130697,10,3271
560,130776,10,4137
561,130794,10,15081
562,130837,10,43
563,130873,10,385
564,130907,10,13231
565,130934,10,5828
566,130943,10,24221
567,130989,10,1074
568,131061,10,166
569,131113,10,14678
570,131159,10,13019
571,131283,10,5171
572,131399,10,3855
573,131405,10,73
574,131450,10,1364
575,131469,10,25568
576,131496,10,20392
577,131520,10,13416
578,131803,10,353
579,131830,10,25
580,131876,10,1865
581,131973,10,450
582,132374,10,2953
583,132408,10,352
584,132471,10,6836
585,132602,10,2515
586,132657,10,3501
587,132675,10,81
588,132693,10,13601
589,132709,10,29140
590,132842,10,787
591,132851,10,5747
592,132879,10,136
593,132903,10,69233
594,132976,10,310
595,133021,10,1820
596,133155,10,767
597,133386,10,11807
598,133465,10,468
599,133492,10,1986
600,133508,10,13860
601,133526,10,1175
602,133553,10,11070
603,133650,10,9265
604,133669,10,30790
605,133702,10,20530
606,133711,10,2441
607,133809,10,657
608,133845,10,140
609,133854,10,137
610,133863,10,132
611,133872,10,1692
612,133881,10,8516
613,133951,10,53953
614,133960,10,854
615,133979,10,1365
616,133997,10,130
617,134024,10,32
618,134079,10,3194
619,134097,10,43234
620,134130,10,54814
621,134228,10,30
622,134237,10,26421
623,134291,10,652
624,134307,10,922
625,134343,10,4959
626,134422,10,19
627,134495,10,20004
628,134510,10,156
629,134529,10,286
630,134574,10,138
631,134608,10,15104
632,134714,10,191
633,134945,10,3957
634,135081,10,20102
635,135142,10,239
636,135160,10,2837
637,135179,10,822
638,135188,10,5064
639,135267,10,696
640,135276,10,1461
641,135294,10,388
642,135337,10,85
643,135364,10,556
644,135391,10,8411
645,135407,10,1117
646,135522,10,512
647,135559,10,65
648,135610,10,112
649,135647,10,730
650,135717,10,39139
651,135726,10,19593
652,135735,10,2743
653,136109,10,117
654,136145,10,1281
655,136172,10,16453
656,136215,10,20877
657,136233,10,5160
658,136303,10,994
659,136330,10,3875
660,136358,10,24369
661,136400,10,9449
662,136473,10,8518
663,136491,10,1018
664,136516,10,7963
665,136659,10,410
666,136701,10,140
667,136765,10,375
668,136774,10,1722
669,136826,10,868
670,136950,10,3013
671,137023,10,369
672,137032,10,10231
673,137078,10,23350
674,137087,10,1421
675,137096,10,12698
676,137120,10,1102
677,137209,10,14104
678,137245,10,1469
679,137272,10,29
680,137281,10,7066
681,137315,10,2976
682,137351,10,48572
683,137476,10,6455
684,137546,10,3669
685,137564,10,10400
686,137591,10,288
687,137713,10,277
688,137759,10,11699
689,137777,10,34
690,137847,10,11054
691,137856,10,232
692,137865,10,464
693,137953,10,397
694,137962,10,189
695,138187,10,42524
696,138275,10,891
697,138284,10,201
698,138293,10,930
699,138309,10,3034
700,138354,10,14371
701,138372,10,1418
702,138479,10,850
703,138488,10,2803
704,138497,10,275
705,138558,10,3768
706,138600,10,1077
707,138655,10,529
708,138664,10,113
709,138682,10,2761
710,138716,10,6544
711,138761,10,294
712,138822,10,586
713,138840,10,3493
714,138868,10,2827
715,138901,10,1551
716,138929,10,350
717,138938,10,319
718,138947,10,4135
719,138956,10,4118
720,139144,10,2370
721,139153,10,375
722,139199,10,2420
723,139205,10,1123
724,139250,10,3189
725,139278,10,6722
726,139311,10,5842
727,139348,10,157
728,139357,10,3153
729,139366,10,7610
730,139384,10,6742
731,139393,10,928
732,139463,10,4902
733,139506,10,54
734,139579,10,698
735,139621,10,1756
736,139630,10,896
737,139658,10,15046
738,139700,10,4955
739,139719,10,2763
740,139746,10,60
741,139755,10,47946
742,139764,10,3408
743,139861,10,6811
744,139931,10,26041
745,139940,10,34974
746,139959,10,41615
747,139968,10,3129
748,139986,10,5804
749,139995,10,451
750,140003,10,132
751,140012,10,9726
752,140146,10,61
753,140234,10,671
754,140243,10,6145
755,140252,10,2711
756,140331,10,9842
757,140340,10,555
758,140447,10,9124
759,140553,10,2738
760,140562,10,935
761,140571,10,343
762,140678,10,2696
763,140696,10,1522
764,140720,10,344
765,140818,10,1840
766,140827,10,74
767,140872,10,1170
768,140942,10,3581
769,140951,10,17575
770,140960,10,3078
771,140988,10,1447
772,141006,10,1725
773,141060,10,3633
774,141167,10,1583
775,141185,10,2532
776,141237,10,2714
777,141255,10,4380
778,141264,10,10151
779,141325,10,641
780,141334,10,12728
781,141361,10,1420
782,141486,10,2602
783,141565,10,2781
784,141574,10,19256
785,141608,10,70
786,141644,10,4748
787,141680,10,3204
788,141796,10,5822
789,141802,10,1298
790,141811,10,6059
791,141839,10,2647
792,141981,10,2863
793,141990,10,2743
794,142054,10,433
795,142090,10,103
796,142115,10,26670
797,142179,10,2565
798,142276,10,12614
799,142285,10,11849
800,142294,10,1076
801,142328,10,3706
802,142407,10,93
803,142443,10,3979
804,142461,10,1774
805,142489,10,69
806,142522,10,42996
807,142559,10,8775
808,142832,10,1674
809,142887,10,90
810,142957,10,14
811,143048,10,3401
812,143084,10,2484
813,143118,10,5935
814,143215,10,7955
815,143233,10,66
816,143279,10,3853
