yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
9502024,950,2024,CA0011300,CA0011300,,N,N,,I,UNION CITY,UNION CITY PD,Union City,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,63976,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,60,6,66,12,17,29,1.1,1.5,2021-01-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9512024,951,2024,CA0011400,CA0011400,,N,N,,I,EAST BAY REGNL PARK DIST,E BAY REG PKS DIST DEPT OF PUB SAFETY OAKLAND,East Bay Regional Park District,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Other,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,55,7,62,8,27,35,0,0,2021-01-01,2022-04-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9522024,952,2024,CA0011500,CA0011500,,N,N,,I,CA ST UN: EAST BAY,CALIFORNIA STATE UNIV PD HAYWARD,California State University:,East Bay,A,6,California,CA,CA,9,Pacific,4,West,Region IV,University or College,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,12,3,15,1,3,4,0,0,2021-01-01,2021-12-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9542024,954,2024,CA0012100,CA0012100,,N,N,,I,SF BART: ALAMEDA COUNTY,SF RAPID TRANSIT BART POLICE DEPT OAKLAND,San Francisco Bay Area Rapid Transit:,Alameda County,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Other,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,188,80,268,27,76,103,0,0,2021-01-01,2024-12-01,2024-12-01,2024-12-01,2024-12-01,2024-12-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9592024,959,2024,CA001300X,CA0013000,,N,N,,I,DUBLIN,DUBLIN,Dublin,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,68099,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,N,,,,,,,,,2021-01-01,2022-07-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9622024,962,2024,CA0019700,CA0019700,,N,N,,I,UN OF CA: BERKELEY,UNIV CAL PD BERKELEY,University of California:,Berkeley,A,6,California,CA,CA,9,Pacific,4,West,Region IV,University or College,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,40,33,73,9,22,31,0,0,2021-01-01,2022-09-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,ALAMEDA,"San Francisco-Oakland-Fremont, CA",Y,Y,Y
9652024,965,2024,CA0020000,CA0020000,,N,N,,I,ALPINE,ALPINE CO SO MARKLEEVILLE,Alpine,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,1139,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,0,11,1,3,4,10.5,13.2,2021-01-01,2022-08-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,ALPINE,Not Specified,Y,Y,Y
9672024,967,2024,CA0030000,CA0030000,,N,N,,I,AMADOR,AMADOR CO SO JACKSON,Amador,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,29497,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,55,1,56,12,20,32,2.3,3.0,2021-01-01,2022-07-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,AMADOR,Not Specified,Y,Y,Y
9692024,969,2024,CA0030200,CA0030200,,N,N,,I,IONE,IONE PD,Ione,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,5531,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,1,2,1.8,2.0,2021-01-01,2022-07-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,AMADOR,Not Specified,Y,Y,Y
9702024,970,2024,CA0030300,CA0030300,,N,N,,I,JACKSON,JACKSON PD,Jackson,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,5177,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,2,1,3,1.7,1.9,2021-01-01,2022-07-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,AMADOR,Not Specified,Y,Y,Y
9722024,972,2024,CA0030500,CA0030500,,N,N,,I,SUTTER CREEK,SUTTER CREEK PD,Sutter Creek,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,2739,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,0,0,1.8,1.8,2021-01-01,2022-07-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,AMADOR,Not Specified,Y,Y,Y
9752024,975,2024,CA0040000,CA0040000,,N,N,,I,BUTTE,BUTTE CO SO OROVILLE,Butte,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,County,72449,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,75,90,165,8,72,80,1.1,3.4,2021-01-01,2022-05-01,2022-08-01,2022-08-01,2022-08-01,2022-08-01,N,BUTTE,"Chico, CA",Y,Y,Y
9772024,977,2024,CA0040200,CA0040200,,N,N,,I,CHICO,CHICO PD,Chico,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,100831,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,97,11,108,8,50,58,1.0,1.6,2021-01-01,2023-04-01,2023-07-01,2023-07-01,2023-07-01,2023-07-01,N,BUTTE,"Chico, CA",Y,Y,Y
9782024,978,2024,CA0040300,CA0040300,,N,N,,I,GRIDLEY,GRIDLEY PD,Gridley,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,7231,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,1,12,4,6,10,2.1,3.0,2021-01-01,2022-08-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,BUTTE,"Chico, CA",Y,Y,Y
9792024,979,2024,CA0040400,CA0040400,,N,N,,I,OROVILLE,OROVILLE PD,Oroville,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,19270,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,19,9,28,4,13,17,1.2,2.3,2021-01-01,2021-10-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,BUTTE,"Chico, CA",Y,Y,Y
9802024,980,2024,CA0040500,CA0040500,,N,N,,I,PARADISE,PARADISE PD,Paradise,,A,6,California,CA,CA,9,Pacific,4,West,Region IV,City,9809,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,3,20,1,8,9,1.8,3.0,2021-01-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,2022-02-01,N,BUTTE,"Chico, CA",Y,Y,Y
9822024,982,2024,CA0040700,CA0040700,,N,N,,I,CSP: NORTHERN BUTTES,DEPT OF PARKS & REC LAKE OROVILLE OROVILLE,California State Parks:,Northern Buttes,A,6,California,CA,CA,9,Pacific,4,West,Region IV,Other State Agency,0,23357,CAUCR0001,Department of Justice Criminal Justice Statistics Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,0,0,2021-01-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,N,BUTTE,"Chico, CA",Y,Y,Y
